item_name,category,price
Salmon Nigiri,Sushi,5.5
Tuna Nigiri,Sushi,5.5
Salmon Maki,Sushi,4.5
Crunchy California Roll,Sushi,5.5
YO! Roll,Sushi,6
Dynamite Roll,Sushi,6.5
Popcorn Prawn Roll,Sushi,6.5
Salmon Dragon Roll,Sushi,6.5
Chicken Katsu Sushi Sando,Hot Food,7.5
Chicken Katsu Curry,Curry,13.5
Prawn Katsu Curry,Curry,14.5
Beef Teriyaki Donburi,Rice Bowl,15.5
Chicken Dashi Ramen,Ramen,14.5
Chashu Chicken Ramen,Ramen,14.5
Korean Fried Chicken,Hot Food,7.95
Japanese Fried Chicken,Hot Food,7.95
Chicken Gyoza,Sides,7.5
Vegetable Gyoza,Sides,6.95
Chicken Yakitori,Sides,6.95
YO! Fries,Sides,4.95
Miso Soup,Drinks,3.5
Japanese Green Tea,Drinks,3.45
Coca Cola,Drinks,3.95
Ramune Soda,Drinks,3.95
Asahi Beer,Alcohol,5.95
Hakushika Ginjo Sake,Alcohol,7.5
Chocolate Cream Puff,Dessert,5.5
Miso Caramel Brownie,Dessert,5.5
Strawberry Little Moons,Dessert,5.5
Cotton Candy Cheesecake,Dessert,6.5
